,Text
170,یه جوری فرانسه گفته میخواد کمک کنه آدم فکر می کنه دکترایی آورده که خودمون نداریم، مثل اینه که خودمون هواپیما و تجهیزات داریم گفته میخوام مهماندار بفرستم ایران. البته اگه توشون هواپیماربا هم نفرسته.والا. #France #coronavirus #COVID19 #Iran #KhameneiTheGraet
171,"Tranquilo todo el mundo, la crisis financiera del coronavirus en españa nos la van a arreglar con las multas los paletos que se saltan el estado de alarma... A este paso las gallinas que entren por las que salgan"
172,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
173,HAPPPY BIRTHDAAAYYY🎈🎈🎈🎈
174,"Venice canals run clear, dolphins appear in Italy’s waterways amid coronavirus lockdown "
175,"Six Feet Away, or Six Feet Under, @TheTweetOfGod Says! #coronavirus #COVID19 #StayAtHome #SocialDistancing"
176,همه آدمایی که اینجا فارسی می‌نویسن، برام علامت سؤالن؛ آدم با منفی‌بافی، مقاومت دربرابر قرنطینه و مبارزه با انواع ویروسای بیولوژیک، ایدئولوژیک، تیک عصبی و...چطورمی‌تونه هنوز زنده‌ باشه؟ #Iranians #coronavirus همه توو این فازن که چرا دنیا درهاشو به‌روی خلاقیت و اثرگذاری‌ اونا بسته 
177,"This #coronavirus told us that, we should stick together, support each other, help those who need help, care about each other, love to survive all together! This virus made everyone to rethink, prepare and educate themselves! This was a new test for all governments and humanity!"
178,CORONAVIRUS is telling the world that no single individual or Nation is superpower. The only superpower is Almighty Allah.
179,"Corona virus ain’t shit, my ex was more toxic."
180,"Do not doubt that if sanctions are lifted against the Islamic Republic, their missile range will reach the WhiteHouse. They fired missiles at the Iranian people, Mahan Airlines transported Corona virus to Iran, they are killers @realDonaldTrump @SecPompeo #COVIDSanctionsLie"
181,"Y’all miss your ex, I miss life without the corona virus"
182,Health Minister inspects Kuwait Airport to receive Kuwaitis tomorrow http://www.arabtimesonline.com/news/health-minister-inspects-kuwait-airport-to-receive-kuwaitis-tomorrow/ #Kuwait #coronavirus #coronaviruskuwait
183,I'm actually starting to appreciate and enjoy all the changes corona virus brought 🤓 #confession
184,دانلود پروژه آماده افترافکت : وله خبری کرونا ویروس Corona Virus Broadcast E3D https://www.timecode.ir/?p=126534
185,يوما إلى شهر العظيم 30 Days to the great month وداعا كورونا المستجد مرحبا يا شهر رمضان GOODBYE CORONA VIRUS WELCOME RAMADHAN نحن نعلم أن الكلام دعاء We Know that talk is a Prayer (Du'a) 
186,#coronavirus #coronavírus #coronavirüs #stayhome #درخانه_میمانیم #درخانه_بمانیم #درخانه_بمانید #درخانه_میمانیم_تا_کرونا_را_شکست_دهیم #کروناویروس #کرونا_را_شکست_میدهیم #کرونادرایران #کرونا_را_جدی_بگیریم
187,Special “THANK YOU” to our valiant Medical Frontliners for your dedication and sacrifices in the fight against COVID-19. Photos from overworked Care Personnel are going viral. 🙏🏻❤️💐 #doctors #doctor #Coronavirus… https://www.instagram.com/p/B-IXGarDMW_/?igshid=ennx5zjh9g97
188,#coronavirus #coronavírus #coronavirüs #stayhome #درخانه_میمانیم #درخانه_بمانیم #درخانه_بمانید #درخانه_میمانیم_تا_کرونا_را_شکست_دهیم #کروناویروس #کرونا_را_شکست_میدهیم #کرونادرایران #کرونا_را_جدی_بگیریم
189,"Don't trust Mr. Trita Parsi and Mr. Javad Zarif, they are always looking for opportunities to lift the sanctions by lobbying the Iranian people against corona virus is just an excuse to deceive public opinion, Ayatollah Don't trust #COVIDSanctionsLie"
190,The State of Kuwait become role model to the world in taking actions against spread of #coronavirus. Very quick in the decision making &amp; reacting fast to achieve it. Hats off to the great King. As a resident I feel safe in Kuwait.
191,#Newroz #coronavirus 
192,"Kurdistan Region’s Prime Minister Masrour Barzani allocates a particular budget contain the spread of coronavirus in Darbandikhan, a town in Sulaimaniyah, where 14 people have contracted coronavirus in three days-Spokeperson of Kurdistan Regional Government 📸 @JccKrg"
193,#Hantavirus #coronavirus 😂😂🤷🏻‍♀️ 
194,#Coronavirus #Hantavirus
195,I hope recent health crisis in Iran and all around the world be resolved... #IranCoVidTruth #Iran #coronavirus #COVID19 #Turkeycoronavırus 🙏
196,"#US could become next #coronavirus epicenter, #WHO says"
197,#COVID19 #coronaVirus 
198,Thief strikes one hour before curfew starts http://www.arabtimesonline.com/news/thief-strikes-one-hour-before-curfew-starts/ #Kuwait #curfew #coronavirus #coronaviruskuwait
199,كل ما اقرا Coronavirus اسمع صوت Cardi B داش بطبلة إذني
200,"Prime Minister Masrour Barzani speaks by phone to US Assistant Treasury Secretary for Terrorism Financing Marshall Billingslea, discussions included ""the KRG’s response to the coronavirus pandemic and ways that the United States Government can help"": KRG statement "
201,That time no one in the government was thinking about this coronavirus pandemic because of the court issues and political behind the scene as well as demonstrations and political rallies.
202,@corona virus 
203,Coronavirus: 6 new cases in Kurdistan Region 
204,You must stay at home الان زبان‌مشترک دنیا همینه One word #coronavirus #کروناویروس
205,#Coronavirus #Hantavirus Please China!
206,"Eu tô fazendo minha parte em relação ao coronavírus e já tem duas semanas que não tô indo na casa dos meus avós. Mas se o pessoal lá (tias e primos) não fizerem sua parte tb, não adianta absolutamente nada oq eu tô fazendo"
207,"The Islamic Republic kills vulnerable Iranians in an undeniable reality by using the Corona virus The regime is trying to undermine sanctions by using a dirty tool like @NIACAction Mr. @SecPompeo, please do not be fooled. #COVIDSanctionsLie"
208,"Si no me da coronavirus, de seguro me da dengue... qué manera de haber mosquitos 🤦🏼‍♂️ "
209,Israel in political crisis amid coronavirus outbreak - The Washington Post #israelipolitics #politicalcrisisinisrael
210,Coronavirus: Is there an alternative to lockdowns? http://www.ecoti.in/lKWEQY12 via @economictimes
211,عجیب اسم مرکز سلامت #ایران_مال ویژه بیماران کرونایی منو به خنده و گریه میندازه وقتی خشت خشت سرمایه های مردم رابا دروغ و نیرنگ و فریب و دزدی و فساد مالی و زد و بند قدرت روی هم سوار میکنند و پشت اسامی، خون های ریخته شده را میشویند و متبرک می کنند #کروناویروس #coronavirus
212,"“In addition to halting executions, the coronavirus has also disrupted an exoneration.” "
213,"Kuwait PM visits MoI's command center, several police, KNG checkpoints http://www.arabtimesonline.com/news/kuwait-pm-visits-mois-command-center-several-police-kng-checkpoints/ #Kuwait #coronavirus #coronaviruskuwait #curfew #StayAtHome"
214,Interior Ministry urges compliance with coronavirus preventive measures http://ow.ly/lAKz50yUJdc
215,It is coming no one is immune #Harvard university president and his wife have #coronavirus #usacorona everyone should be in #lockdown
216,"If you overturn @realDonaldTrump sanctions against the Islamic Republic, you've got cat meat, the Islamic Republic will never think of the Iranian people, they will use the Corona virus for more money and warfare, the Islamic Republic Never mind the Iranian people @EU_Commission"
