,Text
198,"CRISIS CORONAVIRUS FOVASA, EMPRESA DE RECOGIDA DE BUSURAS EN MONCADA. REALIZA TAREAS DE DESINFECCIÓN DE CONTENEDORES "
199,"🌍Creo que 3/4 de la población mundial aún no es plenamente consciente de lo que significa la pandemia #COVID19 🌎La de 1918 acabó con la vida de 50 millones de personas, muchísimas de ellas jóvenes 🌏Esta puede cambiar nuestra percepción de muchas cosas y nos hará sufrir mucho"
200,"Esta panda de miserables sigue ocultando que dejaron los hospitales públicos, sin recursos y sin EPIs. El PP advierte de que Sánchez es el ""único responsable"" de la gestión del coronavirus y ""debe asumir las consecuencias"" - "
201,Yo acabo de donar 50€. Echa una mano tú también por favor. Coronavirus: Ayuda para el Hospital de Albacete 
202,El Financial Times pone a Ayuso de ejemplo en la lucha contra el coronavirus 
203,"El Rey consigue 50.000 pruebas de coronavirus, que llegarán este miércoles a España https://www.abc.es/espana/casa-real/abci-reyes-mantienen-labor-apoyo-desde-zarzuela-202003241347_noticia.html#vca=rrss-inducido&amp;vmc=abc-es&amp;vso=tw&amp;vli=noticia-foto vía @ABCespana"
204,Como vuelva a ver un puto meme o a alguien que se tome a coña el coronavirus me lío a hostias.
205,El Financial Times pone a Ayuso de ejemplo en la lucha contra el coronavirus https://www.elespanol.com/espana/politica/20200324/financial-times-pone-ayuso-ejemplo-lucha-coronavirus/477203817_0.html
206,"El coronavirus nos descubre también como víctimas de otras enfermedades latentes, sobre todo psicológicas."
207,Los colegios de abogados se resisten a perdonar cuotas por la crisis del #coronavirus http://noticias.juridicas.com/actualidad/noticias/14982-los-colegios-de-abogados-se-resisten-a-perdonar-cuotas-por-la-crisis-del-coronavirus/
208,#CoronaVirus #COVID19 White House asks people who have left New York recently to self-isolate for 2 weeks – at plaza de castilla de san rafael
209,¿Víctima o testigo del coronavirus? 
210,"Baltasar Garzón, ingresado por una insuficiencia respiratoria por el coronavirus via @El_Plural"
211,El mapa del coronavirus: más de 417.000 casos y más de 18.700 muertos en 185 países https://www.rtve.es/n/1998143/ vía @rtve
212,Sorteo coronavirus. Requisitos: - RT y FAV. - Seguirme. - Mencionar a 2 amigos que también lo quieran. Base legal en la descripción de mi perfil. 
213,con toda esta mierda del coronavirus el metro no va a llegar a mi barrio hasta por lo menos 2023 y me jode mucho
214,El coronavirus se ha cargado el parchís!! 🎲🦠
215,"Yo: he conocido a alguien, quiero conocerle más Coronavirus: "
216,"A ver si paramos de hablar un poco del puto coronavirus en literalmente TODOS PUTOS LADOS, porque a lo mejor así se nos hace más llevadero. Y la gente con lo típico de “a ver si pensáis de verdd que el 11 de abril salimos” CALLAOS LA PUTA BOCA :)"
217,Madrid’s coronavirus fighter says controls will have impact within days 
218,Vamos que es coronavirus asegurado
