,0
124,Im Jahr 2017 gab es in #Deutschland 28.031 Krankenhausplätze zur intensivmedizinischen Versorgung. Für einen #coronavirus-Ausbruch wird das nicht reichen. #COVIDー19 erfordert für jede 20. Infektionen so einen Platz. Und schon jetzt sind nicht alle Betten leer.
125,"Endlich sind linke und rechte, liberale und konservative alle auf einer Wellenlänge. Ich sage es euch, der #Coronavirus bringt Deutschland zueinander. (Okay, so in der Art mit Gewalt, Plünderungen usw.) 😅👍 Bin stolz auf euch."
126,Wichtig !!! Coronavirus in fast allen Bundesländern entdeckt - 3000 Tote in China - https://www.stern.de/politik/deutschland/die-morgenlage--coronavirus-in-fast-allen-bundeslaendern-entdeckt-9168566.html?utm_campaign=&amp;utm_source=twitter&amp;utm_medium=mweb_sharing via @sternde
127,"While central Europe is closing borders, urging home office & avoiding all but essential travel, some athletes are travelling from the UK to the European mainland for 🚲 jollies. Good idea, yes or no? Protect those who are vulnerable. #coronavirus #COVID19 #SocialDistancing"
128,"Deutschlandfunk reports on COSMO project: Monitoring knowledge, risk perceptions, preventive behaviours, and public trust in the current coronavirus outbreak in Germany: https://www.deutschlandfunk.de/covid-19-bereitschaft-zur-einschraenkung-wegen-coronavirus.2850.de.html?drn:news_id=1110631 @CorneliaBetsch @rki_de @ZPID @BNITM_de @smc_germany @YaleGH #coronadeutschland"
129,Hey guys because of the rising corona virus infections in Germany i have to cancel my trip to the Netherlands because it's unsure if they will close the borders.For this months I'm only available for sessions in the Frankfurt(Germany)area .I'm really sorry I hope you understand. 
130,Portland #stripclub offers topless food delivery amid #coronavirus closures 
131,Netherlands said the masks didn't meet their 'quality norms'. Netherlands had recently bought 1.3 million masks from China to tackle the coronavirus outbreak. 
132,"The Italian Civil Protection Agency confirmed the grim landmark, reporting 889 new deaths"
133,Meanwhile in Frankfurt.. #CoronaLockdown #coronavirus #COVID19 #StayAtHome #Frankfurt #hessen #deutschland
